ano,id_municipio,id_municipio_nome,atu_ef,atu_em,had_ef,had_em,tdi_ef,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_em
2013,2611606,Recife,18.5,33.6,4.4,5.5,7.6,8.5,95.9,93.9,3.8,5.3,0.3,0.8
2013,2611606,Recife,31.4,32.2,5.2,4.9,8.7,39.1,97.1,74.6,2.9,25.2,0.0,0.2
2007,2611606,Recife,36.3,42.9,,,57.0,72.6,58.7,57.7,21.7,12.1,19.6,30.2
2007,2611606,Recife,36.3,42.9,,,57.0,72.6,58.7,57.7,21.7,12.1,19.6,30.2
2007,2611606,Recife,31.4,42.5,,,42.4,71.2,70.9,58.4,16.4,11.9,12.7,29.7
2007,2611606,Recife,31.4,42.5,,,42.4,71.2,70.9,58.4,16.4,11.9,12.7,29.7
2007,2611606,Recife,27.4,39.3,,,26.9,33.5,83.8,64.0,10.8,10.2,5.4,25.8
2007,2611606,Recife,27.4,39.3,,,26.9,33.5,83.8,64.0,10.8,10.2,5.4,25.8
2007,2611606,Recife,28.8,41.5,,,35.2,59.8,74.9,64.1,14.4,10.9,10.7,25.0
2007,2611606,Recife,28.8,41.5,,,35.1,59.8,74.9,64.1,14.4,10.9,10.7,25.0
2007,2611606,Recife,21.7,37.5,,,7.4,11.1,95.9,93.8,3.8,5.4,0.3,0.8
2007,2611606,Recife,21.7,37.5,,,7.4,11.1,95.9,93.8,3.8,5.4,0.3,0.8
2007,2611606,Recife,31.6,26.1,,,14.2,17.5,97.2,96.6,2.8,3.4,0.0,0.0
2007,2611606,Recife,31.6,26.1,,,14.2,17.5,97.2,96.6,2.8,3.4,0.0,0.0
2007,2611606,Recife,15.0,,,,58.3,,67.2,,16.4,,16.4,
2007,2611606,Recife,15.0,,,,58.3,,67.2,,16.4,,16.4,
2007,2611606,Recife,15.0,,,,58.3,,67.2,,16.4,,16.4,
